timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645041070693,133,/get_method,200,OK,Thread Group 1-40,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,133,0,47
1645041070696,130,/object_info_2,200,OK,Thread Group 1-31,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,130,0,47
1645041070701,128,/user_info_2,200,OK,Thread Group 1-6,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,128,0,46
1645041070703,126,/get_method,200,OK,Thread Group 1-24,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,126,0,45
1645041070706,125,/object_info_1,200,OK,Thread Group 1-1,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,125,0,46
1645041070706,129,/object_info_1,200,OK,Thread Group 1-33,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,129,0,49
1645041070709,130,/object_info_4,200,OK,Thread Group 1-44,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,130,0,47
1645041070715,125,/object_info_2,200,OK,Thread Group 1-50,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,125,0,47
1645041070713,128,/object_info_3,200,OK,Thread Group 1-12,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,128,0,49
1645041070717,126,/object_info_4,200,OK,Thread Group 1-26,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,126,0,45
1645041070718,126,/user_info_3,200,OK,Thread Group 1-36,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,126,0,45
1645041070725,120,/object_info_3,200,OK,Thread Group 1-29,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,120,0,43
1645041070726,121,/object_info_1,200,OK,Thread Group 1-34,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,121,0,46
1645041070727,124,/user_info_2,200,OK,Thread Group 1-22,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,124,0,47
1645041070743,110,/user_info_3,200,OK,Thread Group 1-20,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,110,0,43
1645041070744,112,/object_info_2,200,OK,Thread Group 1-16,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,112,0,42
1645041070748,111,/get_method,200,OK,Thread Group 1-42,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,111,0,45
1645041070749,112,/object_info_3,200,OK,Thread Group 1-47,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,112,0,44
1645041070753,110,/user_info_3,200,OK,Thread Group 1-3,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,110,0,44
1645041070754,111,/user_info_2,200,OK,Thread Group 1-39,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,111,0,44
1645041070757,112,/object_info_4,200,OK,Thread Group 1-45,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,112,0,45
1645041070758,112,/object_info_3,200,OK,Thread Group 1-13,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,112,0,46
1645041070766,105,/object_info_1,200,OK,Thread Group 1-17,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,105,0,44
1645041070767,107,/get_method,200,OK,Thread Group 1-9,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,107,0,46
1645041070768,108,/get_method,200,OK,Thread Group 1-8,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,108,0,45
1645041070769,108,/user_info_2,200,OK,Thread Group 1-23,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,108,0,47
1645041070773,106,/object_info_2,200,OK,Thread Group 1-32,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,105,0,44
1645041070774,106,/object_info_2,200,OK,Thread Group 1-15,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,106,0,46
1645041070777,103,/object_info_3,200,OK,Thread Group 1-48,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,103,0,45
1645041070781,105,/object_info_4,200,OK,Thread Group 1-11,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,105,0,47
1645041070783,105,/object_info_3,200,OK,Thread Group 1-30,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,105,0,46
1645041070779,111,/object_info_1,200,OK,Thread Group 1-18,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,111,0,49
1645041070784,107,/object_info_3,200,OK,Thread Group 1-14,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,107,0,48
1645041070788,108,/user_info_3,200,OK,Thread Group 1-37,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,108,0,47
1645041070789,110,/object_info_4,200,OK,Thread Group 1-27,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,110,0,50
1645041070791,109,/object_info_1,200,OK,Thread Group 1-2,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,109,0,49
1645041070794,109,/object_info_1,200,OK,Thread Group 1-35,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,109,0,49
1645041070796,113,/get_method,200,OK,Thread Group 1-43,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,113,0,51
1645041070799,111,/object_info_3,200,OK,Thread Group 1-49,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,111,0,51
1645041070801,113,/user_info_3,200,OK,Thread Group 1-4,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,113,0,51
1645041070802,122,/object_info_1,200,OK,Thread Group 1-19,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,122,0,53
1645041070806,118,/user_info_2,200,OK,Thread Group 1-7,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,118,0,50
1645041070807,117,/get_method,200,OK,Thread Group 1-25,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,117,0,51
1645041070811,113,/user_info_3,200,OK,Thread Group 1-38,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,113,0,51
1645041070812,112,/user_info_3,200,OK,Thread Group 1-5,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,112,0,50
1645041070815,110,/object_info_4,200,OK,Thread Group 1-46,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,110,0,51
1645041070817,119,/user_info_3,200,OK,Thread Group 1-21,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,119,0,56
1645041070816,120,/user_info_2,200,OK,Thread Group 1-41,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,120,0,53
1645041070822,117,/object_info_4,200,OK,Thread Group 1-28,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,117,0,55
1645041070824,115,/get_method,200,OK,Thread Group 1-10,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,115,0,54
1645041070826,115,/user_info_2,200,OK,Thread Group 1-40,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,115,0,53
1645041070826,123,/object_info_3,200,OK,Thread Group 1-31,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,123,0,56
1645041070829,123,/user_info_3,200,OK,Thread Group 1-6,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,123,0,55
1645041070829,125,/user_info_2,200,OK,Thread Group 1-24,text,true,,396,247,50,50,http://162.55.220.72:5005/user_info_2,125,0,57
1645041070835,123,/object_info_2,200,OK,Thread Group 1-33,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,123,0,56
1645041070831,129,/object_info_2,200,OK,Thread Group 1-1,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,129,0,58
1645041070839,125,/get_method,200,OK,Thread Group 1-44,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,125,0,58
1645041070841,125,/object_info_3,200,OK,Thread Group 1-50,text,true,,338,166,50,50,http://162.55.220.72:5005/object_info_3?name=Nikita&age=26&salary=600000,125,0,56
1645041070841,127,/object_info_4,200,OK,Thread Group 1-12,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,127,0,57
1645041070844,126,/get_method,200,OK,Thread Group 1-26,text,true,,162,149,50,50,http://162.55.220.72:5005/get_method?name=Nikita&age=26,126,0,59
1645041070845,127,/object_info_1,200,OK,Thread Group 1-36,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,127,0,60
1645041070845,130,/object_info_4,200,OK,Thread Group 1-29,text,true,,208,165,50,50,http://162.55.220.72:5005/object_info_4?name=Nikita&age=26&salary=60000,130,0,61
1645041070847,130,/object_info_2,200,OK,Thread Group 1-34,text,true,,396,165,50,50,http://162.55.220.72:5005/object_info_2?name=Nikita&age=26&salary=60000,130,0,59
1645041070851,131,/user_info_3,200,OK,Thread Group 1-22,text,true,,266,247,50,50,http://162.55.220.72:5005/user_info_3,131,0,58
1645041070853,133,/object_info_1,200,OK,Thread Group 1-20,text,true,,212,162,50,50,http://162.55.220.72:5005/object_info_1?name=Nikita&age=26&weight=87,133,0,58
